date,country,tenor,pair_id,greenium,ytm_green,ytm_conv,sentiment,signaling_noise,vix,cds,fx,post,sentiment_climatebert
2023-01-27,India,10Y,India_10Y,-0.03514999999999979,7.24,7.27515,-0.0026225754266357,0.3182664054900646,18.51,80.5,81.515,0,
2023-01-30,India,10Y,India_10Y,0.07885000000000009,7.385,7.30615,-0.0940426224246385,0.2871747499843916,19.94,80.5,81.525,0,
2023-01-31,India,10Y,India_10Y,-0.0001499999999996504,7.324,7.3241499999999995,0.0102998227588578,0.3326536354173707,19.4,80.54,81.7685,0,
2023-02-01,India,10Y,India_10Y,0.015799999999999592,7.268,7.2522,-0.0933279484653523,0.3636593628838367,17.87,80.52,81.7575,0,
2023-02-02,India,10Y,India_10Y,-0.010200000000000209,7.2,7.2102,-0.0499183937473215,0.2878899253908121,18.73,80.51,82.04400000000001,0,
2023-02-03,India,10Y,India_10Y,-0.0011999999999998678,7.197,7.1982,-0.0862419084831025,0.2890508915300032,18.33,80.52,82.23349999999999,0,
2023-02-06,India,10Y,India_10Y,-0.014149999999999885,7.239,7.25315,-0.0255731479613585,0.3608861136967463,19.43,80.5,82.75,0,
2023-02-07,India,10Y,India_10Y,0.01485000000000003,7.268,7.25315,-0.1722738098281863,0.3468831243284415,18.66,80.54,82.87,0,
2023-02-08,India,10Y,India_10Y,-0.03414999999999946,7.2490000000000006,7.28315,-0.0607637519617921,0.2926859318717819,19.63,80.53,82.655,0,
2023-02-09,India,10Y,India_10Y,-0.07910000000000039,7.244,7.3231,-0.0395464626355019,0.323450679620648,20.71,80.53,82.53999999999999,0,
2023-02-10,India,10Y,India_10Y,-0.11804999999999932,7.246,7.36405,-0.00324047857429,0.3433657442165603,20.53,80.51,82.52000000000001,0,
2023-02-13,India,10Y,India_10Y,-0.030100000000000016,7.304,7.3341,-0.0270219574388755,0.3557526447386475,20.34,80.51,82.59700000000001,0,
2023-02-14,India,10Y,India_10Y,-0.048049999999999926,7.297000000000001,7.3450500000000005,-0.1218850495132389,0.4007275520692244,18.91,80.52,82.91499999999999,0,
2023-02-15,India,10Y,India_10Y,-0.05710000000000015,7.268,7.3251,-0.1200232291210994,0.3241130922873043,18.23,80.53,82.765,0,
2023-02-16,India,10Y,India_10Y,-0.015099999999999447,7.297000000000001,7.3121,-0.0914361213793572,0.3781678294058891,20.17,80.53,82.715,0,
2023-02-17,India,10Y,India_10Y,-0.014050000000000118,7.332,7.34605,-0.0459992285941111,0.3882494897604657,20.02,80.5,82.765,0,
2023-02-20,India,10Y,India_10Y,-0.031050000000000466,7.316,7.34705,-0.0736446457610644,0.3417633170109002,21.23,80.5,82.7205,0,
2023-02-21,India,10Y,India_10Y,-0.061050000000000715,7.302,7.36305,-0.0732514649707599,0.3798416367969712,22.87,80.48,82.84899999999999,0,
2023-02-22,India,10Y,India_10Y,-0.10200000000000031,7.3149999999999995,7.417,-0.0977213704081638,0.3176274957346467,22.29,80.52,82.83500000000001,0,
2023-02-23,India,10Y,India_10Y,-0.06599999999999984,7.332,7.398,-0.057169542447825,0.3602732396261012,21.14,80.51,82.6175,0,
2023-02-24,India,10Y,India_10Y,-0.05800000000000072,7.329,7.3870000000000005,-0.1554287232620571,0.3051491714633102,21.67,80.5,82.9254,0,
2023-02-27,India,10Y,India_10Y,-0.04499999999999993,7.3420000000000005,7.3870000000000005,-0.176578477908726,0.3760079908643005,20.95,80.49,82.652,0,
2023-02-28,India,10Y,India_10Y,-0.10195000000000043,7.368,7.469950000000001,-0.0667012950752171,0.4005510742747089,20.7,80.5,82.64500000000001,0,
2023-03-01,India,10Y,India_10Y,-0.0829500000000003,7.368,7.450950000000001,-0.0466175723093524,0.3399223654900353,20.58,80.5,82.435,0,
2023-03-02,India,10Y,India_10Y,-0.04394999999999971,7.383,7.42695,-0.062713508603717,0.3529212926602869,19.59,80.51,82.35499999999999,0,
2023-03-03,India,10Y,India_10Y,-0.07394999999999996,7.354,7.42795,-0.0845054218055602,0.3014013588956482,18.49,80.52,81.71000000000001,0,
2023-03-06,India,10Y,India_10Y,-0.04194999999999993,7.354,7.39595,-0.0245152423416795,0.2949740603265699,18.61,80.51,81.815,0,
2023-03-07,India,10Y,India_10Y,-0.04194999999999993,7.354,7.39595,-0.0407272357986901,0.4384318399108083,19.59,80.52,82.025,0,
