"Date","Price","Open","High","Low","Change %"
"05/14/2026","8.01","8.01","8.01","8.01","0.00%"
"05/13/2026","8.01","8.01","8.01","8.01","0.11%"
"05/12/2026","8.00","8.01","8.01","8.00","3.23%"
"05/11/2026","7.75","8.00","8.00","7.75","-3.27%"
"05/08/2026","8.01","8.01","8.01","8.01","3.38%"
"05/07/2026","7.75","7.76","7.76","7.75","-3.41%"
"05/06/2026","8.02","8.02","8.02","8.02","-2.87%"
"05/05/2026","8.26","8.26","8.26","8.26","0.18%"
"05/04/2026","8.25","8.26","8.26","8.25","-0.17%"
"05/01/2026","8.26","8.26","8.26","8.26","-3.05%"
"04/30/2026","8.52","8.52","8.52","8.52","-2.57%"
"04/29/2026","8.74","8.76","8.76","8.74","2.86%"
"04/28/2026","8.50","8.26","8.50","8.26","0.00%"
"04/27/2026","8.50","8.51","8.51","8.50","-0.16%"
"04/24/2026","8.52","8.51","8.52","8.51","1.65%"
"04/23/2026","8.38","8.38","8.38","8.38","-1.54%"
"04/22/2026","8.51","8.51","8.51","8.51","-2.03%"
"04/21/2026","8.69","8.70","8.70","8.69","-0.81%"
"04/20/2026","8.76","8.75","8.76","8.75","0.52%"
"04/17/2026","8.71","9.20","9.20","8.71","-3.27%"
"04/16/2026","9.01","9.01","9.01","9.01","-2.68%"
"04/15/2026","9.26","9.26","9.26","9.26","-0.11%"
"04/14/2026","9.27","9.26","9.27","9.26","-2.63%"
"04/13/2026","9.52","9.51","9.52","9.51","0.08%"
"04/10/2026","9.51","9.51","9.51","9.51","0.00%"
"04/09/2026","9.51","9.51","9.51","9.51","2.67%"
"04/08/2026","9.27","9.77","9.77","9.27","-9.74%"
"04/07/2026","10.27","10.26","10.27","10.26","5.15%"
"04/06/2026","9.76","9.76","9.76","9.76","0.07%"
"04/03/2026","9.76","9.76","9.76","9.76","-0.10%"
"04/02/2026","9.77","9.76","9.77","9.76","-7.08%"
"04/01/2026","10.51","10.52","10.52","10.51","-0.12%"
"03/31/2026","10.52","10.52","10.52","10.52","0.00%"
"03/30/2026","10.52","10.52","10.52","10.52","5.02%"
"03/27/2026","10.02","9.76","10.02","9.76","2.86%"
"03/26/2026","9.74","9.76","9.76","9.74","2.33%"
"03/25/2026","9.52","9.52","9.52","9.52","-2.41%"
"03/24/2026","9.76","10.00","10.00","9.76","-2.65%"
"03/23/2026","10.02","10.00","10.02","10.00","-2.16%"
"03/20/2026","10.24","9.86","10.24","9.86","13.90%"
"03/19/2026","8.99","8.75","8.99","8.75","12.44%"
"03/18/2026","8.00","8.01","8.01","8.00","-0.16%"
"03/17/2026","8.01","8.26","8.26","8.01","-5.96%"
"03/16/2026","8.52","8.51","8.52","8.51","-5.45%"
"03/13/2026","9.01","8.76","9.01","8.76","12.74%"
"03/12/2026","7.99","8.00","8.00","7.99","3.12%"
"03/11/2026","7.75","7.51","7.75","7.51","3.29%"
"03/10/2026","7.50","8.01","8.01","7.50","-11.78%"
"03/09/2026","8.50","8.25","8.50","8.25","6.15%"
"03/06/2026","8.01","7.76","8.01","7.76","0.12%"
"03/05/2026","8.00","8.00","8.00","8.00","3.24%"
"03/04/2026","7.75","7.76","7.76","7.75","-3.17%"
"03/03/2026","8.00","8.01","8.01","8.00","0.18%"
"03/02/2026","7.99","8.01","8.01","7.99","6.24%"
"02/27/2026","7.52","7.51","7.52","7.51","0.09%"
"02/26/2026","7.51","7.51","7.51","7.51","0.15%"
"02/25/2026","7.50","7.51","7.51","7.50","3.43%"
"02/24/2026","7.25","7.26","7.26","7.25","-0.23%"
"02/23/2026","7.27","7.26","7.27","7.26","0.19%"
"02/20/2026","7.26","7.26","7.26","7.26","0.00%"
"02/19/2026","7.26","7.26","7.26","7.26","0.08%"
"02/18/2026","7.25","7.26","7.26","7.25","0.00%"
"02/17/2026","7.26","7.26","7.26","7.26","-0.08%"
"02/16/2026","7.26","7.26","7.26","7.26","-0.11%"
"02/13/2026","7.27","7.26","7.27","7.26","0.00%"
"02/12/2026","7.27","7.26","7.27","7.26","3.87%"
"02/11/2026","7.00","7.01","7.01","7.00","-0.24%"
"02/10/2026","7.02","7.01","7.02","7.01","0.09%"
"02/09/2026","7.01","7.01","7.01","7.01","-3.30%"
