"Date","Price","Open","High","Low","Change %"
"04/17/2026","90.22","90.22","90.22","90.22","0.09%"
"04/16/2026","90.14","90.14","90.14","90.14","-1.18%"
"04/15/2026","91.21","91.21","91.21","91.21","-0.55%"
"04/14/2026","91.71","91.71","91.71","91.71","-1.42%"
"04/13/2026","93.04","93.04","93.04","93.04","-0.88%"
"04/10/2026","93.87","93.87","93.87","93.87","-0.88%"
"04/09/2026","94.70","94.70","94.70","94.70","0.88%"
"04/08/2026","93.87","93.87","93.87","93.87","-5.35%"
"04/07/2026","99.18","99.18","99.18","99.18","-0.33%"
"04/06/2026","99.51","99.51","99.51","99.51","-0.33%"
"04/03/2026","99.84","99.84","99.84","99.84","0.00%"
"04/02/2026","99.84","99.84","99.84","99.84","0.00%"
"04/01/2026","99.85","99.85","99.85","99.85","-3.67%"
"03/31/2026","103.65","103.66","103.66","103.65","-1.11%"
"03/30/2026","104.82","103.65","104.82","103.65","2.02%"
"03/27/2026","102.74","102.74","102.74","102.74","2.06%"
"03/26/2026","100.67","100.34","100.67","100.34","5.31%"
"03/25/2026","95.60","95.60","95.60","95.60","-7.55%"
"03/24/2026","103.40","103.40","103.40","103.40","-1.19%"
"03/23/2026","104.65","105.65","105.65","104.65","7.14%"
"03/20/2026","97.67","97.67","97.67","97.67","5.58%"
"03/19/2026","92.51","92.51","92.51","92.51","2.20%"
"03/18/2026","90.53","89.45","90.53","89.45","-1.10%"
"03/17/2026","91.53","91.53","91.53","91.53","-0.98%"
"03/16/2026","92.44","92.90","92.90","92.44","0.45%"
"03/13/2026","92.02","92.02","92.02","92.02","1.84%"
"03/12/2026","90.36","90.36","90.36","90.36","2.25%"
"03/11/2026","88.36","88.36","88.36","88.36","0.08%"
"03/10/2026","88.30","88.30","88.30","88.30","-4.21%"
"03/09/2026","92.18","91.47","92.18","91.47","8.19%"
"03/06/2026","85.20","85.20","85.20","85.20","-0.29%"
"03/05/2026","85.45","85.45","85.45","85.45","-3.29%"
"03/04/2026","88.36","88.36","88.36","88.36","3.21%"
"03/03/2026","85.61","85.61","85.61","85.61","-0.29%"
