"Date","Price","Open","High","Low","Vol.","Change %"
"05/18/2026","6.4178","6.4275","6.4379","6.4154","","-0.27%"
"05/17/2026","6.4350","6.4275","6.4358","6.4289","","0.10%"
"05/15/2026","6.4285","6.4040","6.4338","6.4015","","0.39%"
"05/14/2026","6.4036","6.3793","6.4063","6.3745","","0.39%"
"05/13/2026","6.3787","6.3647","6.3886","6.3629","","0.22%"
"05/12/2026","6.3644","6.3415","6.3742","6.3380","","0.36%"
"05/11/2026","6.3415","6.3395","6.3612","6.3387","","-0.14%"
"05/10/2026","6.3503","6.3390","6.3602","6.3485","","0.16%"
"05/08/2026","6.3401","6.3725","6.3740","6.3388","","-0.52%"
"05/07/2026","6.3733","6.3607","6.3743","6.3440","","0.20%"
"05/06/2026","6.3607","6.3915","6.3919","6.3346","","-0.48%"
"05/05/2026","6.3912","6.3916","6.3997","6.3793","","-0.01%"
"05/04/2026","6.3917","6.3546","6.3972","6.3531","","0.26%"
"05/01/2026","6.3754","6.3704","6.3787","6.3401","","0.08%"
"04/30/2026","6.3700","6.4005","6.4115","6.3645","","-0.47%"
"04/29/2026","6.4003","6.3799","6.4091","6.3762","","0.32%"
"04/28/2026","6.3801","6.3751","6.3992","6.3718","","0.08%"
"04/27/2026","6.3752","6.3904","6.3910","6.3566","","0.00%"
"04/24/2026","6.3751","6.3965","6.4022","6.3738","","-0.33%"
"04/23/2026","6.3965","6.3844","6.4041","6.3778","","0.19%"
"04/22/2026","6.3843","6.3641","6.3858","6.3529","","0.32%"
"04/21/2026","6.3640","6.3396","6.3773","6.3377","","0.38%"
"04/20/2026","6.3397","6.3523","6.3714","6.3382","","-0.21%"
"04/17/2026","6.3532","6.3428","6.3547","6.3067","","0.16%"
"04/16/2026","6.3429","6.3336","6.3511","6.3202","","0.15%"
"04/15/2026","6.3335","6.3350","6.3485","6.3285","","-0.03%"
"04/14/2026","6.3352","6.3549","6.3571","6.3264","","-0.31%"
"04/13/2026","6.3546","6.3734","6.4063","6.3508","","-0.29%"
"04/10/2026","6.3729","6.3873","6.3997","6.3648","","-0.22%"
"04/09/2026","6.3870","6.4079","6.4144","6.3736","","-0.32%"
"04/08/2026","6.4075","6.4450","6.4459","6.3750","","-0.58%"
"04/07/2026","6.4449","6.4748","6.4845","6.4389","","-0.46%"
"04/06/2026","6.4747","6.4894","6.4948","6.4575","","-0.20%"
"04/03/2026","6.4878","6.4761","6.4902","6.4700","","0.18%"
"04/02/2026","6.4762","6.4481","6.4928","6.4389","","0.44%"
"04/01/2026","6.4476","6.4667","6.4682","6.4260","","-0.29%"
"03/31/2026","6.4666","6.5184","6.5261","6.4604","","-0.81%"
"03/30/2026","6.5193","6.4908","6.5303","6.4856","","0.41%"
"03/27/2026","6.4926","6.4820","6.4969","6.4705","","0.16%"
"03/26/2026","6.4821","6.4647","6.4870","6.4566","","0.27%"
"03/25/2026","6.4647","6.4369","6.4673","6.4242","","0.43%"
"03/24/2026","6.4371","6.4334","6.4650","6.4255","","0.05%"
"03/23/2026","6.4336","6.4759","6.5063","6.4189","","-0.37%"
"03/20/2026","6.4576","6.4467","6.4828","6.4432","","0.16%"
"03/19/2026","6.4473","6.5252","6.5305","6.4314","","-1.19%"
"03/18/2026","6.5252","6.4750","6.5266","6.4661","","0.77%"
"03/17/2026","6.4755","6.4948","6.5173","6.4709","","-0.30%"
"03/16/2026","6.4949","6.5459","6.5473","6.4833","","-0.77%"
"03/13/2026","6.5453","6.4910","6.5489","6.4804","","0.83%"
"03/12/2026","6.4911","6.4595","6.4923","6.4544","","0.49%"
"03/11/2026","6.4593","6.4354","6.4632","6.4160","","0.37%"
"03/10/2026","6.4355","6.4207","6.4377","6.4037","","0.24%"
"03/09/2026","6.4204","6.4643","6.4920","6.4193","","-0.16%"
"03/06/2026","6.4308","6.4351","6.4713","6.4280","","-0.08%"
"03/05/2026","6.4359","6.4220","6.4638","6.4144","","0.22%"
"03/04/2026","6.4218","6.4338","6.4550","6.4107","","-0.19%"
"03/03/2026","6.4340","6.3911","6.4793","6.3812","","0.66%"
"03/02/2026","6.3916","6.3526","6.4014","6.3332","","1.06%"
"02/27/2026","6.3248","6.3332","6.3385","6.3167","","-0.13%"
"02/26/2026","6.3333","6.3262","6.3468","6.3164","","0.12%"
"02/25/2026","6.3258","6.3466","6.3475","6.3236","","-0.33%"
"02/24/2026","6.3467","6.3380","6.3496","6.3329","","0.12%"
"02/23/2026","6.3389","6.3333","6.3458","6.3122","","-0.03%"
"02/20/2026","6.3407","6.3460","6.3623","6.3274","","-0.08%"
"02/19/2026","6.3459","6.3408","6.3635","6.3272","","0.08%"
"02/18/2026","6.3410","6.3021","6.3417","6.3002","","0.62%"
"02/17/2026","6.3022","6.3035","6.3290","6.3018","","-0.02%"
"02/16/2026","6.3035","6.2933","6.3070","6.2918","","0.15%"
"02/13/2026","6.2941","6.2924","6.3066","6.2862","","0.03%"
"02/12/2026","6.2925","6.2934","6.3040","6.2835","","-0.02%"
"02/11/2026","6.2936","6.2812","6.3126","6.2628","","0.20%"
"02/10/2026","6.2812","6.2707","6.2852","6.2633","","0.17%"
"02/09/2026","6.2707","6.3215","6.3244","6.2628","","-0.81%"
"02/06/2026","6.3222","6.3407","6.3470","6.3140","","-0.29%"
"02/05/2026","6.3406","6.3242","6.3420","6.3154","","0.26%"
"02/04/2026","6.3241","6.3181","6.3331","6.3093","","0.09%"
"02/03/2026","6.3182","6.3340","6.3404","6.3133","","-0.25%"
"02/02/2026","6.3340","6.3003","6.3422","6.2885","","0.51%"
"01/30/2026","6.3018","6.2378","6.3026","6.2360","","1.03%"
"01/29/2026","6.2377","6.2459","6.2722","6.2238","","-0.14%"
"01/28/2026","6.2462","6.2013","6.2768","6.1994","","0.72%"
"01/27/2026","6.2013","6.2866","6.3026","6.1808","","-1.36%"
"01/26/2026","6.2867","6.2996","6.3102","6.2722","","-0.41%"
